         21624757 function calls (21476474 primitive calls) in 52.705 seconds

   Ordered by: cumulative time
   List reduced from 2352 to 1077 due to restriction <'mlx'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    6.066    6.066 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/common/metadata.py:160(wrapper)
        1    0.000    0.000    5.755    5.755 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/chunking/dispatch.py:69(wrapper)
        1    0.000    0.000    5.755    5.755 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf.py:123(partition_pdf)
        1    0.001    0.001    5.755    5.755 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf.py:251(partition_pdf_or_image)
        1    0.000    0.000    5.697    5.697 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf.py:398(extractable_elements)
        1    0.000    0.000    5.697    5.697 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf.py:422(_partition_pdf_with_pdfminer)
       35    0.000    0.000    4.905    0.140 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/unstructured/partition/pdf_image/pdfminer_utils.py:84(open_pdfminer_pages_generator)
       34    0.000    0.000    4.864    0.143 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:1198(process_page)
    38/34    0.000    0.000    3.634    0.107 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:1213(render_contents)
    38/34    0.092    0.002    3.361    0.099 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:1233(execute)
     8099    0.006    0.000    2.346    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfinterp.py:1112(do_TJ)
     8099    0.010    0.000    2.332    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfdevice.py:102(render_string)
     8099    0.052    0.000    2.196    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdfdevice.py:152(render_string_horizontal)
    91434    0.103    0.000    2.127    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/converter.py:235(render_char)
    91474    1.511    0.000    1.564    0.000 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/pdfminer/pdffont.py:1001(to_unichr)
        1    0.000    0.000    1.391    1.391 /Users/faisalm/dev/mlx-community/mlx-rag/model.py:48(__call__)
        1    1.391    1.391    1.391    1.391 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/mlx/nn/layers/transformer.py:78(__call__)
        1    0.000    0.000    1.352    1.352 /Users/faisalm/dev/mlx-community/mlx-rag/.rag-env/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2855(__call__)
